model;price;km;location;year
Audi S6 4,0 TFSi Avant quattro S-tr. ;689.900 kr.;49.000;Nordsjælland;2017
Audi A4 40 TFSi Edition+ Avant S-tr. ;329.895 kr.;36.000;København;2018
Audi A6 1,8 TFSi 190 Ultra S-tr. ;399.900 kr.;59.000;København;2018
Audi A4 40 TFSi Sport Prestige Avant S-tr ;359.900 kr.;28.000;København;2019
Audi A1 1,0 TFSi 95 Ultra Sportback ;179.900 kr.;20.000;Syd- og Sønderjylland;2018
Audi A3 35 TFSi S-line S-tr. ;414.900 kr.;12.000;København;2021
Audi A5 2,0 TFSi 225 Sportback quattro S-tr. ;261.000 kr.;90.000;København;2014
Audi Q2 35 TFSi S-line S-tr. ;433.900 kr.;6.000;Østjylland;2021
Audi A4 40 TFSi Advanced S-tr. ;399.900 kr.;12.000;Nordjylland;2020
Audi A3 1,4 TFSi 150 Ambition S-tr. ;269.700 kr.;86.000;Vestjylland;2016
Audi A1 30 TFSi Advanced Sportback S-tr. ;295.900 kr.;4.000;København;2021
Audi A3 1,4 TFSi 116 Sport Cabriolet ;284.900 kr.;60.000;Syd- og Sønderjylland;2017
Audi A1 1,4 TFSi 122 Ambition S-tr. ;109.900 kr.;51.000;Syd- og Vestsjælland;2010
Audi Q2 35 TFSi Prestige S-tr. ;334.900 kr.;8.000;København;2021
Audi A5 40 TFSi S-line+ Sportback S-tr. ;489.900 kr.;13.000;Syd- og Sønderjylland;2020
Audi A4 1,4 TFSi 150 Sport S-tr. ;249.900 kr.;170.000;Syd- og Vestsjælland;2016
Audi Q2 1,4 TFSi 150 S-tr. ;339.900 kr.;60.000;Nordjylland;2017
Audi A1 1,0 TFSi 81 Sport Sportback ;169.900 kr.;41.000;Syd- og Sønderjylland;2017
Audi A4 40 TFSi Advanced+ Avant S-tr. ;409.900 kr.;21.000;Fyn;2020
Audi Q3 35 TFSi Advanced S-tr. ;409.900 kr.;8.000;Fyn;2019
Audi A3 35 TFSi Sport Limited+ Sportback S-tr. ;318.900 kr.;8.000;København;2020
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;394.900 kr.;32.000;Syd- og Vestsjælland;2018
Audi A6 1,8 TFSi 190 Ultra S-tr. ;399.700 kr.;46.000;Vestjylland;2018
Audi A4 1,8 TFSi 170 Avant ;149.900 kr.;172.000;Østjylland;2012
Audi RS4 4,2 quattro ;399.900 kr.;177.000;Syd- og Sønderjylland;2006
Audi S5 3,0 TFSi Sportback quattro Tiptr. ;839.800 kr.;37.000;Syd- og Sønderjylland;2018
Audi RS5 2,9 TFSi Coupé quattro Tiptr. ;999.900 kr.;76.000;Syd- og Sønderjylland;2017
Audi Q3 35 TFSi Prestige Sportback S-tr. ;384.900 kr.;9.000;Fyn;2020
Audi RS6 4,0 TFSi Avant quattro Tiptr. ;2.594.536 kr.;0;København;2021
Audi A3 1,4 TFSi 125 Attraction Sportback ;177.500 kr.;62.000;Syd- og Vestsjælland;2016
Audi Q2 30 TFSi Prestige ;299.900 kr.;6.000;Nordjylland;2020
Audi A3 35 TFSi Prestige Sportback S-tr. ;389.900 kr.;11.000;København;2021
Audi A3 40 TFSi Sport Limited S-tr. ;324.900 kr.;26.000;Østjylland;2019
Audi A4 1,8 TFSi 170 Avant ;189.900 kr.;115.000;Fyn;2015
Audi A3 1,4 TFSi 150 Sport Sportback S-tr. ;239.700 kr.;137.000;Østjylland;2017
