model;type;price;km;location;year;link
Audi Q3;35 TFSi Sportback S-tr.;419900;15.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-sportback-s-tr/1738158
Audi Q2;35 TFSi Prestige S-tr.;335900;6.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738683
Audi Q3;35 TFSi Advanced S-tr.;404900;11.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738773
Audi A5;40 TFSi Advanced Sportback S-tr.;484900;2.000;Odense;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-advanced-sportback-s-tr/1738787
Audi A3;35 TFSi Prestige S-tr.;374900;4.000;Odense;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1775381
Audi A5;40 TFSi S-line+ Sportback S-tr.;667900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-s-line--sportback-s-tr/1739783
Audi RS 6;4,0 TFSi Avant quattro Tiptr.;2428900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/rs-6/4-0-tfsi-avant-quattro-tiptr/1740027
Audi A3;40 TFSi Limited+ Sportback quattro S-tr;319900;53.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-limited--sportback-quattro-s-tr/1763640
Audi A3;35 TFSi S-line Sportback S-tr.;404900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-s-line-sportback-s-tr/1763894
Audi A3;35 TFSi Sport Limited+ Sportback S-tr.;318900;8.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-sport-limited--sportback-s-tr/1770903
Audi A4;40 TFSi Advanced S-tr.;399900;10.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced-s-tr/1738167
Audi A4;35 TFSi Advanced S-tr.;369900;6.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/35-tfsi-advanced-s-tr/1738180
Audi Q3;35 TFSi Advanced S-tr.;394900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738243
Audi A4;40 TFSi Prestige+ Avant S-tr.;469900;9.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1749411
Audi A4;40 TFSi Advanced S-tr.;399900;12.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced-s-tr/1738171
Audi Q3;35 TFSi Advanced S-tr.;394900;6.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1762824
Audi Q3;35 TFSi Advanced S-tr.;389900;10.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738111
Audi Q2;35 TFSi Prestige S-tr.;364900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738118
Audi Q3;35 TFSi Sportback S-tr.;399900;6.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-sportback-s-tr/1738293
Audi A4;40 TFSi Advanced+ Avant S-tr.;424900;9.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced--avant-s-tr/1738305
Audi Q3;35 TFSi Advanced S-tr.;388900;10.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738334
Audi A6;45 TFSi Sport Avant S-tr.;669900;7.000;Kokkedal;2020;https://www.biltorvet.dk/bil/audi/a6/45-tfsi-sport-avant-s-tr/1738674
Audi A4;40 TFSi Advanced+ Avant S-tr.;419900;5.000;Kokkedal;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced--avant-s-tr/1738681
Audi Q3;35 TFSi Advanced S-tr.;409900;8.000;Odense;2019;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738762
Audi Q3;35 TFSi Advanced S-tr.;389900;9.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1741480
Audi Q2;35 TFSi S-line S-tr.;433900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-s-line-s-tr/1739606
Audi A5;40 TFSi Prestige+ Sportback S-tr.;459900;10.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1738055
Audi S3;2,0 TFSi Sportback quattro S-tr.;674900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/s3/2-0-tfsi-sportback-quattro-s-tr/1738108
Audi A5;40 TFSi Prestige+ Sportback S-tr.;479900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1776369
Audi A4;40 TFSi Advanced+ Avant S-tr.;436900;6.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced--avant-s-tr/1737959
Audi A4;40 TFSi Advanced+ Avant S-tr.;429900;6.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced--avant-s-tr/1737961
Audi A4;40 TFSi Prestige+ Avant S-tr.;429900;8.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1737979
Audi A4;40 TFSi Advanced+ Avant S-tr.;424900;14.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced--avant-s-tr/1738175
Audi A4;35 TFSi Prestige+ S-tr.;394900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tfsi-prestige--s-tr/1738250
Audi A1;30 TFSi Advanced Sportback S-tr.;289900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a1/30-tfsi-advanced-sportback-s-tr/1738321
Audi Q3;35 TFSi Advanced S-tr.;404900;4.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738774
Audi Q3;35 TFSi Advanced S-tr.;389900;8.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738781
Audi Q3;35 TFSi Advanced S-tr.;384900;13.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738795
Audi A4;40 TFSi Prestige+ Avant S-tr.;435900;12.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1745277
Audi A3;35 TFSi Prestige Sportback S-tr.;349900;8.000;Odense;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1777284
Audi TT;40 TFSi S-line Coupé S-tr.;607900;6.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/tt/40-tfsi-s-line-coupe-s-tr/1738318
Audi A3;35 TFSi S-line S-tr.;414900;12.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-s-line-s-tr/1738670
Audi RS Q3;2,5 TFSi Sportback quattro S-tr.;1099900;10.000;Kokkedal;2020;https://www.biltorvet.dk/bil/audi/rs-q3/2-5-tfsi-sportback-quattro-s-tr/1738685
Audi Q2;35 TFSi Prestige S-tr.;359900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738092
Audi Q2;35 TFSi Prestige S-tr.;334900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738120
Audi Q3;35 TFSi Sportback S-tr.;384900;13.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-sportback-s-tr/1738758
Audi A5;40 TFSi Advanced+ Sportback S-tr.;479900;11.000;Odense;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-advanced--sportback-s-tr/1738771
Audi Q2;1,4 TFSi 150 Sport S-tr.;284900;27.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/q2/1-4-tfsi-150-sport-s-tr/1740122
Audi A4;2,0 TFSi 252 Sport Avant S-tr.;399900;105.000;Aalborg;2017;https://www.biltorvet.dk/bil/audi/a4/2-0-tfsi-252-sport-avant-s-tr/1738281
Audi Q2;35 TFSi S-line S-tr.;359900;10.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-s-line-s-tr/1764620
Audi Q3;1,4 TFSi 150 Sport Limited S-tr.;299900;53.000;Søborg;2018;https://www.biltorvet.dk/bil/audi/q3/1-4-tfsi-150-sport-limited-s-tr/1776903
Audi A4;40 TFSi S-line+ Avant S-tr.;467900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-s-line--avant-s-tr/1745278
Audi Q2;35 TFSi S-line S-tr.;364900;11.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-s-line-s-tr/1762318
Audi A3;40 TFSi Limited+ Sportback quattro S-tr;369900;9.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-limited--sportback-quattro-s-tr/1773286
Audi A4;40 TFSi S-line+ S-tr.;439900;8.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-s-line--s-tr/1738676
Audi A4;35 TFSi Advanced+ Avant S-tr.;429900;4.000;Odense;2020;https://www.biltorvet.dk/bil/audi/a4/35-tfsi-advanced--avant-s-tr/1738769
Audi Q3;35 TFSi Advanced S-tr.;384900;7.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738783
