Audi Q2 35 TFSi Prestige S-tr. ;6.000;2021;København;21,6 km/l
Audi A4 1,4 TFSi 150 Avant S-tr. ;55.000;2017;Nordjylland;19,2 km/l
Audi A5 3,0 TFSi Cabriolet quattro S-tr. ;74.000;2013;Vestjylland;11,8 km/l
Audi e-tron 55 Advanced Prestige quattro ;23.000;2020;Nordjylland;-
Audi A6 2,0 TDi 190 Ultra S-line Avant S-tr. ;134.000;2018;Syd- og Vestsjælland;22,2 km/l
Audi Q2 35 TFSi S-line S-tr. ;10.000;2021;Nordjylland;21,6 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;57.000;2018;Syd- og Sønderjylland;12,0 km/l
Audi Q5 2,0 TDi 177 S-line quattro S-tr. ;67.000;2013;Syd- og Sønderjylland;16,7 km/l
Audi A5 2,0 TDi 190 S-line Sportback S-tr. ;76.000;2018;Nordjylland;23,3 km/l
Audi A5 2,0 TDi 190 S-line Sportback S-tr. ;76.000;2018;Nordjylland;23,3 km/l
Audi Q2 1,4 TFSi 150 ;139.000;2018;Syd- og Vestsjælland;18,2 km/l
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;106.000;2017;Vestjylland;20,0 km/l
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;88.000;2015;Syd- og Vestsjælland;14,7 km/l
Audi A4 2,0 TDi 150 Avant ;108.000;2014;Vestjylland;21,2 km/l
Audi A6 2,0 TFSi 252 Avant S-tr. ;35.000;2018;København;16,7 km/l
Audi A3 2,0 TDi 150 Sport Sportback S-tr. ;117.000;2018;Syd- og Sønderjylland;22,7 km/l
Audi A5 40 TFSi S-line+ Sportback S-tr. ;6.000;2021;Østjylland;19,7 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;100.000;2017;Syd- og Sønderjylland;20,4 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;100.000;2017;Syd- og Sønderjylland;20,4 km/l
Audi Q5 2,0 TDi 177 S-line quattro S-tr. ;187.000;2013;Syd- og Sønderjylland;16,7 km/l
