model;type;price;km;location;year;link
Audi A6 Allroad;3,0 TDi 313 quattro Tiptr.;339900;205.000;Aalborg;2014;https://www.biltorvet.dk/bil/audi/a6-allroad/3-0-tdi-313-quattro-tiptr/1738217
Audi A3;1,6 TDi 110 Ambiente S-tr.;184900;89.000;Aalborg;2014;https://www.biltorvet.dk/bil/audi/a3/1-6-tdi-110-ambiente-s-tr/1738277
Audi A6;40 TDi Sport S-tr.;509900;7.000;Holbæk;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-s-tr/1738647
Audi A6;3,0 TDi 218 Avant S-tr.;374900;95.000;Aalborg;2017;https://www.biltorvet.dk/bil/audi/a6/3-0-tdi-218-avant-s-tr/1768496
Audi A6;50 TDi Sport Prestige Avant quattro Tiptr.;674900;12.000;Holbæk;2021;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-prestige-avant-quattro-tiptr/1763807
Audi A6;2,0 TDi 190 S-line Avant S-tr.;339900;90.000;Aalborg;2016;https://www.biltorvet.dk/bil/audi/a6/2-0-tdi-190-s-line-avant-s-tr/1738279
Opel Grandland X;1,5 CDTi 130 Edition+;244900;10.000;Risskov;2020;https://www.biltorvet.dk/bil/opel/grandland-x/1-5-cdti-130-edition/1738346
Audi A3;35 TDi Sport;229800;143.000;Ringe;2018;https://www.biltorvet.dk/bil/audi/a3/35-tdi-sport/1705568
Audi A2;1,2 TDI 3L 61HK Aut.;23995;418.000;Svenstrup;2001;https://www.biltorvet.dk/bil/audi/a2/1-2-tdi-3l-61hk-aut/1766468
Audi A4;2,0 TDi 177;129900;221.000;Virum;2012;https://www.biltorvet.dk/bil/audi/a4/2-0-tdi-177/1588225
Audi A4;2,0 TDi 143;74700;305.000;Holstebro;2009;https://www.biltorvet.dk/bil/audi/a4/2-0-tdi-143/1663641
Audi Q2;1,6 TDi 116;249900;21.000;Køge;2018;https://www.biltorvet.dk/bil/audi/q2/1-6-tdi-116/1727135
Audi Q3;2,0 TDi 140;129800;201.000;Møldrup;2013;https://www.biltorvet.dk/bil/audi/q3/2-0-tdi-140/1590959
Audi Q3;2,0 TDi 140;169900;140.000;Silkeborg;2012;https://www.biltorvet.dk/bil/audi/q3/2-0-tdi-140/1702375
Audi Q7;3,0 TDi 272 quattro Tiptr. 7prs;629500;105.000;Vejle Øst;2016;https://www.biltorvet.dk/bil/audi/q7/3-0-tdi-272-quattro-tiptr--7prs/1635486
Audi A4;2,0 TDI aut. 140HK;43500;271.500;Herning;2005;https://www.biltorvet.dk/bil/audi/a4/2-0-tdi-aut--140hk/1750509
Audi SQ7;4,0 TDi quattro Tiptr.;1099900;69.000;Risskov;2017;https://www.biltorvet.dk/bil/audi/sq7/4-0-tdi-quattro-tiptr/1754280
Audi Q2;1,6 TDi 116 Sport;205900;100.000;Daugård;2017;https://www.biltorvet.dk/bil/audi/q2/1-6-tdi-116-sport/1691306
Audi Q3;2,0 TDi 150 Sport;249900;114.000;Vrå;2016;https://www.biltorvet.dk/bil/audi/q3/2-0-tdi-150-sport/1406942
Audi A3;2,0 TDI Ambition 150HK 3d 6g;144800;162.000;Lemvig;2014;https://www.biltorvet.dk/bil/audi/a3/2-0-tdi-ambition-150hk-3d-6g/1667889
Audi SQ5;3,0 TDi 340 quattro Tiptr.;629000;52.000;Skærbæk;2017;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-340-quattro-tiptr/1772245
Audi Q5;2,0 TDi 150 Sport;399900;79.000;Hillerød;2017;https://www.biltorvet.dk/bil/audi/q5/2-0-tdi-150-sport/1728836
Audi A6;3,0 TDI Multitr. 204HK Trinl. Gear;189700;153.000;Vejen;2011;https://www.biltorvet.dk/bil/audi/a6/3-0-tdi-multitr--204hk-trinl--gear/1630646
Audi A3;1,6 TDi 116 Sport Sportback;239000;57.000;Aars;2017;https://www.biltorvet.dk/bil/audi/a3/1-6-tdi-116-sport-sportback/1706545
Audi A3;2,0 TDI Ambition 150HK 3d 6g;174900;99.000;Snekkersten;2014;https://www.biltorvet.dk/bil/audi/a3/2-0-tdi-ambition-150hk-3d-6g/1754641
Audi A6;2,0 TDI S Tronic 204HK 7g Aut.;450000;30.000;Kongens Lyngby;2019;https://www.biltorvet.dk/bil/audi/a6/2-0-tdi-s-tronic-204hk-7g-aut/1697689
Audi SQ5;3,0 TDi 313 quattro Tiptr.;299900;226.000;Aalborg;2013;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-313-quattro-tiptr/1534563
Audi SQ7;4,0 TDi quattro Tiptr. 7prs;1149900;43.000;Ringsted;2017;https://www.biltorvet.dk/bil/audi/sq7/4-0-tdi-quattro-tiptr--7prs/1758092
Audi A5;3,0 TDi Coupé quattro;154900;189.000;Viborg;2008;https://www.biltorvet.dk/bil/audi/a5/3-0-tdi-coupe-quattro/1594925
Audi Q5;2,0 TDI DPF 143HK 5d 6g;164900;190.000;Herning;2013;https://www.biltorvet.dk/bil/audi/q5/2-0-tdi-dpf-143hk-5d-6g/1640274
Audi SQ7;4,0 TDi quattro Tiptr. 7prs;1099900;70.000;Silkeborg;2017;https://www.biltorvet.dk/bil/audi/sq7/4-0-tdi-quattro-tiptr--7prs/1668296
Audi SQ5;3,0 TDi 313 quattro Tiptr.;169900;93.000;Silkeborg;2014;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-313-quattro-tiptr/1714702
Audi SQ5;3,0 TDi 313 quattro Tiptr.;499900;122.000;Køge;2015;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-313-quattro-tiptr/1741935
Audi A5;2,0 TDi 177 Sportback Multitr.;189000;201.000;Allerød;2013;https://www.biltorvet.dk/bil/audi/a5/2-0-tdi-177-sportback-multitr/1768901
Audi A3;1,6 TDi Ambiente Sportback;95000;257.000;Ikast;2013;https://www.biltorvet.dk/bil/audi/a3/1-6-tdi-ambiente-sportback/1772415
Audi A3;1,6 TDi 110 Sport Sportback;124900;221.000;Hørning;2015;https://www.biltorvet.dk/bil/audi/a3/1-6-tdi-110-sport-sportback/1776674
Audi A5;2,0 TDI 170HK 5d 6g;111300;271.000;Beder;2010;https://www.biltorvet.dk/bil/audi/a5/2-0-tdi-170hk-5d-6g/1773558
Audi Q5;2,0 TDi 143;249700;92.000;Hedensted;2012;https://www.biltorvet.dk/bil/audi/q5/2-0-tdi-143/1579924
Audi A6;2,0 TDi 140;40000;357.000;Vallensbæk;2006;https://www.biltorvet.dk/bil/audi/a6/2-0-tdi-140/1601007
Audi A4;2,0 TDi 136;109900;238.000;Herning;2013;https://www.biltorvet.dk/bil/audi/a4/2-0-tdi-136/1631260
Audi Q3;2,0 TDi 140;189900;131.000;Haderslev;2015;https://www.biltorvet.dk/bil/audi/q3/2-0-tdi-140/1636660
Audi A3;1,6 TDi Ambiente;109800;179.000;Holsted;2014;https://www.biltorvet.dk/bil/audi/a3/1-6-tdi-ambiente/1647397
Audi A6;2,0 TDi 140;89900;259.000;Nordborg;2004;https://www.biltorvet.dk/bil/audi/a6/2-0-tdi-140/1652211
