model;price;km;location;year
Audi A4 2,0 TDi 190 S-line Avant S-tr. ;299.900 kr.;128.000;Vestjylland;2016
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;419.800 kr.;58.000;Østjylland;2017
Audi A6 40 TDi Sport S-tr. ;519.900 kr.;12.000;Nordjylland;2020
Audi A3 1,6 TDi 110 Sportback ;209.900 kr.;76.000;Syd- og Sønderjylland;2017
Audi A3 1,6 TDi 110 Attraction Cabriolet ;219.900 kr.;82.000;Nordjylland;2015
Audi SQ5 3,0 TDi 326 quattro Tiptr. ;679.900 kr.;74.000;Syd- og Sønderjylland;2017
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;499.800 kr.;78.000;Fyn;2014
Audi A4 40 TDi Prestige+ Avant S-tr. ;489.900 kr.;8.000;Nordjylland;2020
Audi A3 35 TDi Sport Limited Sportback S-tr. ;329.900 kr.;20.000;København;2020
Audi A4 40 TDi Prestige+ Avant S-tr. ;444.900 kr.;8.000;Syd- og Sønderjylland;2021
Audi A6 2,0 TDi 177 Multitr. ;144.700 kr.;255.000;Vestjylland;2011
Audi Q5 2,0 TDi 190 quattro S-tr. ;469.700 kr.;113.000;Syd- og Sønderjylland;2018
Audi A5 40 TDi Advanced Sportback S-tr. ;479.900 kr.;11.000;Syd- og Sønderjylland;2020
Audi A3 35 TDi Prestige Sportback S-tr. ;369.000 kr.;11.000;Syd- og Sønderjylland;2021
Audi A3 35 TDi Prestige Sportback S-tr. ;369.000 kr.;12.000;Syd- og Sønderjylland;2021
Audi A3 35 TDi Prestige Sportback S-tr. ;369.000 kr.;12.000;Syd- og Sønderjylland;2021
Audi A4 35 TDi Advanced S-tr. ;399.900 kr.;9.000;Nordjylland;2020
Audi A5 40 TDi Advanced Sportback S-tr. ;479.900 kr.;13.000;Syd- og Sønderjylland;2020
Audi Q5 3,0 TDi 245 S-line quattro S-tr. ;269.700 kr.;210.000;Vestjylland;2013
Audi A6 50 TDi Sport Avant quattro Tiptr. ;679.900 kr.;20.000;Syd- og Sønderjylland;2020
Audi A4 35 TDi Prestige+ Avant S-tr. ;419.900 kr.;6.000;Nordjylland;2021
Audi A5 40 TDi Advanced Sportback S-tr. ;474.900 kr.;14.000;Syd- og Sønderjylland;2020
Audi A5 40 TDi Advanced Sportback S-tr. ;479.900 kr.;15.000;Syd- og Sønderjylland;2020
Audi A3 1,9 TDi Attraction Sportback ;45.000 kr.;284.000;Lolland-Falster;2006
Audi A4 35 TDi Prestige Avant S-tr. ;414.900 kr.;6.000;Nordjylland;2021
Audi A3 35 TDi Prestige S-tr. ;424.900 kr.;12.000;Syd- og Sønderjylland;2021
Audi A3 35 TDi Prestige S-tr. ;434.900 kr.;11.000;Syd- og Sønderjylland;2021
Audi A6 2,0 TDi 190 Ultra S-tr. ;299.900 kr.;93.000;Syd- og Sønderjylland;2016
Audi A3 1,6 TDi 110 Attraction Sportback S-tr. ;164.900 kr.;165.000;Syd- og Vestsjælland;2016
Audi A5 40 TDi Advanced Sportback S-tr. ;479.900 kr.;11.000;Syd- og Sønderjylland;2020
Audi A3 30 TDi Sport Limited Sportback S-tr. ;289.900 kr.;28.000;København;2019
Audi A6 allroad 3,0 TDi 204 quattro S-tr. ;399.900 kr.;99.000;Syd- og Sønderjylland;2013
Audi A5 40 TDi Advanced Sportback S-tr. ;479.900 kr.;9.000;Syd- og Sønderjylland;2020
Audi A4 3,0 TDi 218 Sport Avant S-tr. ;399.900 kr.;48.000;Syd- og Sønderjylland;2017
Audi S6 3,0 TDi Avant quattro Tiptr. ;1.199.900 kr.;6.000;København;2021
Audi A6 40 TDi Sport Avant S-tr. ;593.900 kr.;10.000;København;2020
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;529.800 kr.;105.000;Østjylland;2016
Audi SQ7 4,0 TDi quattro Tiptr. ;1.275.000 kr.;59.000;Fyn;2018
Audi A4 40 TDi Advanced Avant S-tr. ;399.900 kr.;34.000;Syd- og Sønderjylland;2020
Audi A4 35 TDi Prestige+ S-tr. ;409.900 kr.;6.000;Nordjylland;2021
Audi Q7 3,0 TDi 240 quattro Tiptr. 7prs ;150.000 kr.;258.000;Fyn;2008
Audi A5 2,0 TDi 190 S-line Sportback Multitr. ;259.900 kr.;92.000;Østjylland;2015
Audi A3 1,6 TDi 110 Ultra Attraction Sportback ;129.000 kr.;176.000;Vestjylland;2015
Audi A4 2,0 TDi 143 Avant Multitr. ;138.500 kr.;273.000;København;2012
Audi A6 3,0 TDi 218 S-line Avant S-tr. ;269.900 kr.;209.000;Fyn;2016
Audi A6 2,0 TDi 177 Avant Multitr. ;139.000 kr.;360.000;Nordjylland;2011
Audi A5 2,0 TDi 177 Sportback ;180.000 kr.;280.000;Østjylland;2013
Audi A6 3,0 TDi 218 S-line Avant quattro S-tr. ;399.700 kr.;119.000;Nordjylland;2015
Audi A3 1,6 TDi 110 Ambiente Sportback ;174.900 kr.;93.000;Syd- og Sønderjylland;2016
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.099.900 kr.;70.000;Østjylland;2017
Audi A3 2,0 TDi 150 Sport Sportback S-tr. ;209.800 kr.;132.000;Østjylland;2017
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;4.259 kr.;89.000;Nordjylland;2016
Audi A3 2,0 TDi 150 Ambiente Sportback S-tr. ;198.900 kr.;133.000;Syd- og Vestsjælland;2013
Audi A7 3,0 TDi 272 Sportback quattro S-tr. ;459.900 kr.;136.000;Syd- og Vestsjælland;2015
Audi A4 40 TDi Sport Avant S-tr. ;374.900 kr.;85.000;Vestjylland;2019
Audi Q5 3,0 TDi 240 quattro S-tr. ;199.500 kr.;259.000;Syd- og Sønderjylland;2008
Audi Q7 3,0 TDi 272 quattro Tiptr. 7prs ;629.500 kr.;105.000;Syd- og Sønderjylland;2016
Audi A6 3,0 TDi 204 Avant Multitr. ;175.000 kr.;219.000;Vestjylland;2011
Audi Q5 3,0 TDi 240 S-line quattro S-tr. ;179.900 kr.;243.000;Nordjylland;2009
Audi A4 2,0 TDi 150 Avant ;199.900 kr.;171.000;Østjylland;2017
