model;type;price;km;location;year;link
Audi A3;1,4 e-tron Ambiente Sportback S-tr.;229900;47.000;Daugård;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambiente-sportback-s-tr/1754228
Audi A3;1,4 e-tron Sport Sportback S-tr.;269900;55.000;Ringe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1766062
Audi A3;1,4 e-tron Ambiente Sportback S-tr.;199900;83.000;Daugård;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambiente-sportback-s-tr/1772994
Audi A3;1,4 e-tron Sport Sportback S-tr.;259900;19.000;Brabrand;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1640625
Audi A3;1,4 e-tron Sportback S-tr.;219900;51.000;Ringe;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1724490
Audi A3;1,4 e-tron S-line Sportback S-tr.;279900;27.000;København;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1639554
Audi A3;1,4 e-tron S-line Sportback S-tr.;299900;27.000;Hillerød;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1766088
Audi A3;1,4 e-tron Ambition Sportback S-tr.;219900;49.000;Daugård;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambition-sportback-s-tr/1773122
Audi A3;1,4 e-tron Sport Sportback S-tr.;249500;34.000;Viborg;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1733760
Audi A3;1,4 e-tron Sportback S-tr.;224900;13.000;Daugård;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1754046
Audi A3;1,4 e-tron Sportback S-tr.;243900;48.000;Køge;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1759219
Audi A3;1,4 e-tron Sport Sportback S-tr.;239900;23.000;Daugård;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1767772
Audi A3;1,4 e-tron Sportback S-tr.;249900;50.000;Daugård;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1777902
Audi A3;1,4 e-tron S-line Sportback S-tr.;209000;97.000;Brabrand;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1757678
Audi A3;1,4 e-tron Sport Sportback S-tr.;279500;19.000;Vejle Øst;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1760906
Audi A3;1,4 e-tron S-line Sportback S-tr.;269900;35.000;Hillerød;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1765914
Audi A3;1,4 e-tron S-line Sportback S-tr.;275900;50.000;Daugård;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1778962
Audi A3;Sportback 1,4 E-tron Plugin-hybrid Ambition S Tronic 204HK 5d 6g Aut.;287900;60.000;Kastrup;2017;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron--plugin-hybrid-ambition-s-tronic-204hk-5d-6g-aut/1767176
Audi Q5;55 TFSi e Sport quattro S-tr.;669900;8.000;Frederikssund;2020;https://www.biltorvet.dk/bil/audi/q5/55-tfsi-e-sport-quattro-s-tr/1709690
Audi A3;1,4 e-tron Sportback S-tr.;214900;37.000;Hjørring;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1737287
Audi A3;1,4 e-tron Sport Sportback S-tr.;224800;61.000;Ribe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1757487
